Id,Age,Height_Cm,Weight_Kgs,Overall_Rating,Potential,Value_Euro,International_Reputation(1-5),Skill_Moves(1-5),Crossing,Finishing,Heading_Accuracy,Short_Passing,Volleys,Dribbling,Curve,Freekick_Accuracy,Long_Passing,Ball_Control,Acceleration,Sprint_Speed,Agility,Reactions,Balance,Shot_Power,Jumping,Stamina,Strength,Long_Shots,Aggression,Interceptions,Positioning,Vision,Penalties,Composure,Marking,Standing_Tackle,Sliding_Tackle,Gk_Diving,Gk_Handling,Gk_Kicking,Gk_Positioning,Gk_Reflexes
231108,21,182.88,78,68,80,1400000,1,2,41,34,66,51,29,48,35,41,58,61,72,72,66,65,60,58,77,75,74,42,73,63,38,53,47,65,64,70,68,11,12,12,6,8
225476,22,182.88,76.2,68,74,1200000,1,3,71,29,57,68,24,73,42,44,60,74,78,80,80,66,72,55,73,71,41,39,66,62,65,55,36,62,64,67,66,15,10,10,15,8
212932,26,170.18,68.9,68,70,1100000,1,4,57,55,62,67,62,72,60,58,62,70,76,73,78,63,82,61,80,69,58,66,59,35,65,65,61,67,50,31,27,15,9,9,11,13
208324,25,182.88,78,68,72,975000,1,2,69,40,53,65,32,62,54,64,59,63,78,78,65,60,66,68,69,77,75,49,75,65,52,57,47,58,65,62,68,9,10,12,13,16
198852,30,182.88,74.8,68,68,850000,1,3,48,52,59,69,47,64,59,59,68,69,60,46,70,71,68,71,69,60,74,57,72,73,60,68,60,67,65,65,64,10,16,15,10,7
247235,23,175.26,71.2,68,73,1200000,1,3,62,52,49,71,46,66,70,63,65,68,69,67,72,64,66,68,60,73,53,67,55,66,65,69,46,64,64,65,61,9,7,7,5,9
243907,19,190.5,73,68,79,1200000,1,2,50,38,69,65,32,54,40,29,59,62,66,67,58,65,63,58,74,66,64,50,60,67,36,39,46,68,69,71,69,13,8,8,8,8
186562,28,187.96,92.1,68,68,950000,1,2,62,64,71,55,48,58,42,28,58,63,78,80,59,62,53,72,83,79,91,57,74,52,64,56,61,57,58,49,48,15,12,8,16,8
183746,33,152.4,76.2,68,68,500000,1,3,65,57,65,67,53,65,67,65,64,68,74,81,75,64,69,59,54,65,69,58,66,66,63,67,55,50,68,66,64,16,7,15,9,10
228290,25,185.42,82.1,68,72,975000,1,2,23,19,70,51,30,36,28,25,49,51,60,59,46,55,54,35,78,75,80,27,70,63,29,29,39,59,67,70,64,14,6,15,15,14
223426,28,185.42,79.8,68,68,750000,1,2,44,23,66,58,28,46,48,27,49,49,65,75,40,59,52,40,63,69,81,26,65,67,39,43,35,63,67,70,67,8,14,10,14,12
