Play_Id,Age,Height_Cm,Weight_Kgs,Overall_Rating,Potential,Value_Euro,International_Reputation_1_5,Skill_Moves_1_5
240046,24,152.4,72.1,71,74,3000000,1,4
214446,25,152.4,78.9,71,76,2600000,1,2
207788,29,187.96,82.1,71,72,2100000,1,2
223402,23,175.26,69.9,71,78,2800000,1,3
213418,23,185.42,81.2,71,78,3400000,1,3
212138,23,172.72,69.9,71,77,3200000,1,3
206506,28,175.26,71.2,71,71,2500000,1,3
199594,32,172.72,73,71,71,2100000,1,3
190633,29,193.04,81.2,71,71,1900000,1,3
207785,31,170.18,74.8,71,71,1700000,1,3
203177,25,182.88,78,71,76,2600000,1,3
102056,34,152.4,73,71,71,675000,2,3
194727,28,152.4,74.8,71,71,1900000,2,3
188071,27,172.72,66.2,71,71,2500000,1,3
178087,30,152.4,67.1,71,71,2200000,1,3
239271,28,198.12,93,71,73,1900000,1,1
224422,22,175.26,72.1,71,81,3800000,1,3
223654,21,175.26,68,71,81,3400000,1,2
219814,24,182.88,76.2,71,74,2500000,1,3
218534,25,182.88,77.1,71,73,2900000,1,4
223136,26,170.18,68,71,72,2800000,1,3
214944,24,187.96,77.1,71,77,2800000,1,3
191135,28,182.88,74.8,71,71,2500000,1,4
184990,31,175.26,64,71,71,1700000,1,3
212382,24,200.66,83.9,71,78,3400000,1,3
186781,33,187.96,83,71,71,1400000,1,1
183453,30,190.5,78,71,71,1800000,2,3
51101,38,185.42,79.8,71,71,325000,2,2
179613,30,182.88,89.8,71,71,2200000,1,3
176029,31,172.72,67.1,71,71,2100000,1,4
236189,35,185.42,82.1,71,71,1200000,1,4
228509,21,182.88,74.8,71,83,4200000,1,3
220061,26,187.96,73.9,71,74,2500000,1,2
212381,24,172.72,64.9,71,75,3100000,1,3
137373,38,182.88,76.2,71,71,270000,2,3
184220,28,182.88,68,71,71,2400000,1,3
246172,19,172.72,69.9,71,85,5000000,1,3
180635,31,187.96,84.8,71,71,1800000,1,2
230043,20,170.18,73,71,80,3000000,1,3
201883,27,182.88,79.8,71,71,2600000,1,3
192922,30,182.88,79.8,71,71,1600000,1,1
184218,32,154.94,73,71,71,2100000,1,3
183706,29,152.4,83,71,71,2400000,1,3
198810,26,182.88,78.9,71,74,2500000,1,2
188313,29,175.26,67.1,71,71,1900000,1,4
184472,30,152.4,81.2,71,71,1700000,2,3
212632,30,154.94,76.2,71,71,1600000,1,1
201368,27,182.88,69.9,71,72,2700000,1,3
229271,23,152.4,74.8,71,79,3500000,1,3
193942,29,152.4,77.1,71,71,1900000,1,3
193686,28,185.42,78.9,71,71,2000000,1,2
202646,28,175.26,67.1,71,71,2000000,1,3
194964,26,154.94,74.8,71,72,2800000,1,3
